,Totalarchreplacementfrozenelephanttrunkimplantation,LAC,Coronaryarterydisease,postTotalprotein,preprothrombintime
min,0.0,0.6,0.0,23.0,46.0
max,1.0,17.2,1.0,67.1,136.0
